ID,ID2,Item Title,Final URL,Image URL,Item Subtitle,Item Description,Item Category,Price
"Chevrolet Tahoe","1GNSCBE07DR359861","2013 Chevrolet Tahoe","http://www.capitolchevy.com/VehicleDetails/certified-2013-Chevrolet-Tahoe-2WD_1500_LT-Austin-TX/2977415593","http://inventory-dmg.assets-cdk.com/3/0/7/14336113703.jpg","Tahoe","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","38000 USD"
"Chevrolet Camaro","2G1FG1E31E9164085","2014 Chevrolet Camaro","http://www.capitolchevy.com/VehicleDetails/certified-2014-Chevrolet-Camaro-2dr_Cpe_LT_w%2F2LT-Austin-TX/2965207453","http://inventory-dmg.assets-cdk.com/7/7/1/14253763177.jpg","Camaro","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","24000 USD"
"Chevrolet Captiva Sport","3GNAL4EK7ES599385","2014 Chevrolet Captiva Sport","http://www.capitolchevy.com/VehicleDetails/certified-2014-Chevrolet-Captiva_Sport_Fleet-FWD_4dr_LTZ-Austin-TX/2950558043","http://inventory-dmg.assets-cdk.com/8/5/7/14101861758.jpg","Captiva Sport","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","15000 USD"
"Chevrolet Express","1GCWGFCG9E1135433","2014 Chevrolet Express","http://www.capitolchevy.com/VehicleDetails/certified-2014-Chevrolet-Express_Cargo_Van-2500_Regular_Wheelbase_Rear_Wheel_Drive-Austin-TX/2955445653","http://inventory-dmg.assets-cdk.com/3/3/9/14101885933.jpg","Express","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","19000 USD"
"Chevrolet Impala","2G1125S31E9185653","2014 Chevrolet Impala","http://www.capitolchevy.com/VehicleDetails/certified-2014-Chevrolet-Impala-2LT-Austin-TX/2950557963","http://inventory-dmg.assets-cdk.com/1/5/4/14101859451.jpg","Impala","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","19000 USD"
"GMC Sierra","1GT120CGXEF150435","2014 GMC Sierra","http://www.capitolchevy.com/VehicleDetails/certified-2014-GMC-Sierra_2500HD-Crew_Cab_Standard_Box_4_Wheel_Drive_SLE-Austin-TX/2977415623","http://inventory-dmg.assets-cdk.com/5/0/4/14316515405.jpg","Sierra","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","36000 USD"
"Buick Regal","2G4GK5EX2F9128391","2015 Buick Regal","http://www.capitolchevy.com/VehicleDetails/certified-2015-Buick-Regal-4dr_Sdn_Turbo_FWD-Austin-TX/2967101783","http://inventory-dmg.assets-cdk.com/8/4/5/14246994548.jpg","Regal","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","21000 USD"
"Chevrolet Camaro","2G1FE1E36F9189331","2015 Chevrolet Camaro","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Camaro-2dr_Cpe_LT_w%2F2LT-Austin-TX/2956608653","http://inventory-dmg.assets-cdk.com/6/1/7/14101888716.jpg","Camaro","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","24000 USD"
"Chevrolet Corvette","1G1YA3D73F5102261","2015 Chevrolet Corvette","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Corvette-Stingray_Convertible_1LT-Austin-TX/2967101703","http://inventory-dmg.assets-cdk.com/0/9/2/14253780290.jpg","Corvette","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","48000 USD"
"Chevrolet Cruze","1G1PE5SB4F7199896","2015 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Cruze-Sedan_2LT_%28Automatic%29-Austin-TX/2950557903","http://inventory-dmg.assets-cdk.com/9/2/4/14101856429.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","14000 USD"
"Chevrolet Cruze","1G1PE5SB9F7283759","2015 Chevrolet Cruze","http://www.capitolchevy.com/VehicleDetails/certified-2015-Chevrolet-Cruze-Sedan_2LT_%28Automatic%29-Austin-TX/2967101693","http://inventory-dmg.assets-cdk.com/8/8/7/14253776788.jpg","Cruze","Looking to purchase right now? You are in luck. Capitol Chevrolet can help you save money. Regardless if you are looking to buy New Chevy, a quality Used vehicle or a GM Certified Pre-owned vehicle, we have a huge selection to choose from. After more than 80 Years in business, we are still Austin's Original Chevy Store! For the very best pricing, call the number in this listing and ask the Internet Sales Team. You''l be glad you did!","Used","19000 USD"
