id,availability,condition,description,image_link,link,title,price,brand
2G11Y5SN3F9123219,in stock,New,New 2015 Chevrolet Impala,http://inventory-dmg.assets-cdk.com/2/4/0/13375666042.jpg,http://www.capitolchevy.com/VehicleDetails/new-2015-Chevrolet-Impala-LS_CNG-Austin-TX/2713336843,2015 Chevrolet Impala,35674 USD,Chevrolet
2GNFLFEK1G6251309,in stock,New,New 2016 Chevrolet Equinox,http://inventory-dmg.assets-cdk.com/9/3/9/14218732939.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Equinox-AWD_LT-Austin-TX/2854415753,2016 Chevrolet Equinox,27985 USD,Chevrolet
2GNFLFE38G6359290,in stock,New,New 2016 Chevrolet Equinox,http://inventory-dmg.assets-cdk.com/2/2/4/14179378422.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Equinox-AWD_LT-Austin-TX/2890486993,2016 Chevrolet Equinox,29816 USD,Chevrolet
1G1ZE5ST8GF351459,in stock,New,New 2016 Chevrolet Malibu,http://inventory-dmg.assets-cdk.com/5/2/7/13908530725.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Malibu-1LT-Austin-TX/2935764383,2016 Chevrolet Malibu,23325 USD,Chevrolet
1G1ZE5ST0GF301154,in stock,New,New 2016 Chevrolet Malibu,http://inventory-dmg.assets-cdk.com/9/4/2/14246982249.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Malibu-1LT-Austin-TX/2972379653,2016 Chevrolet Malibu,20955 USD,Chevrolet
1GCRCREC8GZ421007,in stock,New,New 2016 Chevrolet Silverado,http://inventory-dmg.assets-cdk.com/RTT/Chevrolet/2016/2953493/default/ext_GBA_deg01.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Silverado_1500-Double_Cab_Standard_Box_2_Wheel_Drive_LT-Austin-TX/2993420203,2016 Chevrolet Silverado,39105 USD,Chevrolet
1GCVKREC5GZ351953,in stock,New,New 2016 Chevrolet Silverado,http://inventory-dmg.assets-cdk.com/0/8/6/13780045680.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Silverado_1500-Double_Cab_Standard_Box_4_Wheel_Drive_LT_Z71-Austin-TX/2913382773,2016 Chevrolet Silverado,43677 USD,Chevrolet
1GNSKJKC6GR205223,in stock,New,New 2016 Chevrolet Suburban,http://inventory-dmg.assets-cdk.com/2/1/8/13466147812.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Suburban-4WD_1500_LTZ-Austin-TX/2787316353,2016 Chevrolet Suburban,64174 USD,Chevrolet
KL7CJLSB0GB617761,in stock,New,New 2016 Chevrolet Trax,http://inventory-dmg.assets-cdk.com/7/9/3/13415404397.jpg,http://www.capitolchevy.com/VehicleDetails/new-2016-Chevrolet-Trax-FWD_4dr_LT-Austin-TX/2837982753,2016 Chevrolet Trax,21631 USD,Chevrolet
1G1FB3DSXH0137937,in stock,New,New 2017 Chevrolet Camaro,http://inventory-dmg.assets-cdk.com/6/5/6/14447175656.jpg,http://www.capitolchevy.com/VehicleDetails/new-2017-Chevrolet-Camaro-2dr_Conv_1LT-Austin-TX/2858953943,2017 Chevrolet Camaro,35423 USD,Chevrolet
