id,availability,condition,description,image_link,link,title,price,brand
SMTB05WF9FJ670684,in stock,New,New 2015 Triumph Thunderbird,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F3/1E/F31ECAB0-C33F-43D0-819D-15E4550FFE55.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Triumph-Cruiser-Thunderbird-Commander-ABS-Two-Tone-Austin-Texas-1402301,2015 Triumph Thunderbird Commander ABS Two-Tone Stock: NT670684 | Woods Fun Center,9785 USD,Triumph
RKRSE48Y4FA098893,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/1C/26/1C262115-1E42-4566-96AA-AE92510749F5.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-1920474,2015 Yamaha Zuma 125 Stock: 098893 | Woods Fun Center,2874 USD,Yamaha
RKRSE48Y3FA098478,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/7A/C9/7AC96148-2F4C-40B7-A880-10A848B96435.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-3132610,2015 Yamaha Zuma 125 Stock: 098478 | Woods Fun Center,2874 USD,Yamaha
RKRSE48Y1FA098897,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/10/05/1005C70A-ED01-4561-B903-51CBD3573691.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-3133818,2015 Yamaha Zuma 125 Stock: 098897 | Woods Fun Center,2874 USD,Yamaha
RKRSE48Y2FA098357,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/81/E0/81E0BB0F-056E-4599-BD2D-8ED122AF7795.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-3134026,2015 Yamaha Zuma 125 Stock: 098357 | Woods Fun Center,2874 USD,Yamaha
RKRSE48Y5FA098434,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/FB/3A/FB3A7F77-BEB1-45FE-B4F2-AA687B18D884.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-3134107,2015 Yamaha Zuma 125 Stock: 098434 | Woods Fun Center,2874 USD,Yamaha
RKRSE48Y5FA098496,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/3D/04/3D0485D6-D319-427A-AE54-9F4F3C0DF6C8.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-3153739,2015 Yamaha Zuma 125 Stock: 098496 | Woods Fun Center,2599 USD,Yamaha
RKRSE48Y7FA098483,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/75/67/7567F6F4-01D6-4660-9331-565F49876A55.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-3154412,2015 Yamaha Zuma 125 Stock: 098483 | Woods Fun Center,2599 USD,Yamaha
RKRSE48Y5FA098465,in stock,New,New 2015 Yamaha YW125,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/E7/BC/E7BC487F-0844-426E-9C51-214BFA84540E.jpg,http://www.woodsfuncenter.com/New-Inventory-2015-Yamaha-Scooter-Zuma-125-Austin-Texas-3154663,2015 Yamaha Zuma 125 Stock: 098465 | Woods Fun Center,2599 USD,Yamaha
WB1050906GZV95587,in stock,New,New 2016 BMW K1300S,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/1A/DA/1ADAFC5E-E55A-4F5E-AB1E-5019E671D4CF.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-BMW-Sport-K-1300-S-Premium-Sapphire-Black-Metallic-Dark-Graphite-Metallic-Austin-Texas-2640910,2016 BMW K 1300 S Premium Sapphire Black Metallic / Dark Graphite Metallic Stock: V95587 | Woods Fun Center,14790 USD,BMW
WB10A1507GZ379027,in stock,New,New 2016 BMW R1200RS,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/53/08/53088444-6720-43F0-8E0E-0A2F243E5A5E.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-BMW-Sport-R-1200-RS-Style-2-Granite-Grey-Metallic-Matte-Austin-Texas-2075022,2016 BMW R 1200 RS Style 2 Granite Grey Metallic Matte Stock: 379027 | Woods Fun Center,17090 USD,BMW
WB10D130XGZ463286,in stock,New,New 2016 BMW S1000XR,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/26/D9/26D9768F-502A-4A59-9611-39FD27C2E33A.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-BMW-Sport-S-1000-XR-Light-White-Granite-Grey-Metallic-Racing-Red-Austin-Texas-1923540,2016 BMW S 1000 XR Light White / Granite Grey Metallic / Racing Red Stock: 463286 | Woods Fun Center,16940 USD,BMW
WB1061309GZZ28859,in stock,New,New 2016 BMW K1600GTL,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/C5/02/C5023299-AF66-4F29-8B9E-56B7E66D9AA4.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-BMW-Touring-K-1600-GTL-Exclusive-Sparkling-Storm-Metallic-Austin-Texas-3048655,2016 BMW K 1600 GTL Exclusive Sparkling Storm Metallic Stock: Z28859 | Woods Fun Center,26890 USD,BMW
JH2RC680XGK200167,in stock,New,New 2016 Honda CTX700N,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/48/43/4843DFC3-DD3C-410E-ABA6-A343DCAB15C0.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Cruiser-CTX-700N-Austin-Texas-2971700,2016 Honda® CTX® 700N Stock: 200167 | Woods Fun Center,6500 USD,Honda
JH2SC68N8GK200651,in stock,New,New 2016 Honda GL1800A/GOLD WING,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/B4/C1/B4C1746F-760D-4504-A81F-B8FA3B516ACD.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Cruiser-Gold-Wing-Audio-Comfort-Navi-XM-ABS-Austin-Texas-2374710,2016 Honda® Gold Wing® Audio Comfort Navi XM® ABS Stock: 200651 | Woods Fun Center,25700 USD,Honda
JH2MC1356GK001374,in stock,New,New 2016 Honda CMX250X/REBEL,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/32/63/32636080-76F7-42A2-8AD1-F430B1DF5B97.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Cruiser-Rebel-Austin-Texas-3061415,2016 Honda® Rebel® Stock: 001374 | Woods Fun Center,3800 USD,Honda
JH2RC5373GK600599,in stock,New,New 2016 Honda VT750C2B-SHADOW PHANTOM,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/7E/5F/7E5F1F9E-DB8B-4656-B98D-CB3A7A069755.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Cruiser-Shadow-Phantom-Austin-Texas-2657946,2016 Honda® Shadow Phantom® Stock: 600599 | Woods Fun Center,6900 USD,Honda
JH2SC6654GK400008,in stock,New,New 2016 Honda VT1300CRA/STATELINE,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/58/2F/582F996A-BAF8-4E6F-9DC4-5C7F6C2859AD.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Cruiser-Stateline-ABS-Austin-Texas-2491045,2016 Honda® Stateline® ABS Stock: 400008 | Woods Fun Center,9900 USD,Honda
JH2SD0458GK000403,in stock,New,New 2016 Honda CRF1000D,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/57/34/5734936D-EBCA-45C1-B85E-FFFBB6CC6D29.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-On-Off-Road-Africa-Twin-CRF1000L-DCT-Austin-Texas-2764160,2016 Honda® Africa Twin CRF1000L DCT Stock: 000403 | Woods Fun Center,13699 USD,Honda
MLHMD3818G5302862,in stock,New,New 2016 Honda CRF250L,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/84/59/8459D7D8-FA9E-454A-8487-DEE34C04249B.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-On-Off-Road-CRF-250L-Austin-Texas-3108006,2016 Honda® CRF® 250L Stock: 302862 | Woods Fun Center,4799 USD,Honda
MLHNF0409G5200075,in stock,New,New 2016 Honda NSS300/FORZA,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/6E/C5/6EC5D74B-3F5C-432F-B6ED-6C580C3182B5.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Scooter-Forza-Austin-Texas-2977072,2016 Honda® Forza™ Stock: 200075 | Woods Fun Center,5200 USD,Honda
MLHNF0402G5200256,in stock,New,New 2016 Honda NSS300/FORZA,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/F1/07/F107192E-CBE2-482F-B20F-4B47003F914E.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Scooter-Forza-Austin-Texas-3061232,2016 Honda® Forza™ Stock: 200256 | Woods Fun Center,5200 USD,Honda
JH2AF7715GK003606,in stock,New,New 2016 Honda NCW50/METROPOLITAN,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/91/9D/919DEEB6-B360-4CD5-8CC0-3583383C05F2.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Scooter-Metropolitan-Austin-Texas-2972016,2016 Honda® Metropolitan® Stock: 003606 | Woods Fun Center,1900 USD,Honda
JH2AF7713GK003622,in stock,New,New 2016 Honda NCW50/METROPOLITAN,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A5/1B/A51BD54F-652B-418B-8063-E3E174341F77.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Scooter-Metropolitan-Austin-Texas-2972601,2016 Honda® Metropolitan® Stock: 003622 | Woods Fun Center,1900 USD,Honda
RLHKF1809GY100661,in stock,New,New 2016 Honda WW150-PCX150,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/35/3B/353BBE7F-4818-4170-ABC1-2B5C0F2DB497.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Scooter-PCX-150-Austin-Texas-3000038,2016 Honda® PCX® 150 Stock: 100661 | Woods Fun Center,3300 USD,Honda
ZDCSC6014GF225081,in stock,New,New 2016 Honda CB1000R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/55/1F/551FDA82-8FDC-4569-81D6-22B151F69AE4.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Sport-CB1000R-Austin-Texas-2491323,2016 Honda® CB1000R Stock: 225081 | Woods Fun Center,10600 USD,Honda
MLHNC5105G5201573,in stock,New,New 2016 Honda CBR300R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/91/D0/91D03404-725F-4646-AA0D-E22886839D6E.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Sport-CBR-300R-Austin-Texas-2163528,2016 Honda® CBR® 300R Stock: a32111 | Woods Fun Center,3900 USD,Honda
MLHPC4463G5300427,in stock,New,New 2016 Honda CBR500R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A6/4F/A64FF063-B48D-445E-89F1-0FA71B69CB58.jpg,http://www.woodsfuncenter.com/New-Inventory-2016-Honda-Sport-CBR-500R-Austin-Texas-2976868,2016 Honda® CBR® 500R Stock: 300427 | Woods Fun Center,6100 USD,Honda
